,model,ndcg,metric,hybrid
190,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
191,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
192,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
193,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
194,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
195,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
196,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
197,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
198,sentence-transformers/all-MiniLM-L6-v2,0.38685280723454163,cosine,yes
199,sentence-transformers/all-MiniLM-L6-v2,0.38685280723454163,ip,yes
200,sentence-transformers/all-MiniLM-L6-v2,0.38685280723454163,l2,yes
201,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
202,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
203,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
204,sentence-transformers/all-MiniLM-L6-v2,0.38685280723454163,cosine,yes
205,sentence-transformers/all-MiniLM-L6-v2,0.38685280723454163,ip,yes
206,sentence-transformers/all-MiniLM-L6-v2,0.38685280723454163,l2,yes
207,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,cosine,yes
208,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,ip,yes
209,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,l2,yes
210,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
211,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
212,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
213,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
214,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
215,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
216,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
217,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
218,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
219,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
220,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
221,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
222,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
223,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
224,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
225,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
226,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
227,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
228,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
229,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
230,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
231,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
232,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
233,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
234,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
235,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
236,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
237,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
238,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
239,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
240,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
241,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
242,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
243,sentence-transformers/all-MiniLM-L6-v2,0.5,cosine,yes
244,sentence-transformers/all-MiniLM-L6-v2,0.5,ip,yes
245,sentence-transformers/all-MiniLM-L6-v2,0.5,l2,yes
246,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
247,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
248,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
249,sentence-transformers/all-MiniLM-L6-v2,0.5,cosine,yes
250,sentence-transformers/all-MiniLM-L6-v2,0.5,ip,yes
251,sentence-transformers/all-MiniLM-L6-v2,0.5,l2,yes
252,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
253,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
254,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
255,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
256,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
257,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
258,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
259,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
260,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
261,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,cosine,yes
262,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,ip,yes
263,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,l2,yes
264,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
265,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
266,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
267,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
268,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
269,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
270,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
271,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
272,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
273,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
274,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
275,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
276,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
277,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
278,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
279,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,cosine,yes
280,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,ip,yes
281,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,l2,yes
282,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
283,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
284,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
285,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
286,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
287,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
288,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
289,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
290,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
291,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
292,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
293,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
294,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
295,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
296,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
297,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
298,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
299,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
300,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
301,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
302,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
303,sentence-transformers/all-MiniLM-L6-v2,0.52053543721495,cosine,yes
304,sentence-transformers/all-MiniLM-L6-v2,0.52053543721495,ip,yes
305,sentence-transformers/all-MiniLM-L6-v2,0.52053543721495,l2,yes
306,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
307,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
308,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
309,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
310,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
311,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
312,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
313,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
314,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
315,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
316,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
317,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
318,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
319,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
320,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
321,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
322,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
323,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
324,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
325,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
326,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
327,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
328,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
329,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
330,sentence-transformers/all-MiniLM-L6-v2,0.5654648767857287,cosine,yes
331,sentence-transformers/all-MiniLM-L6-v2,0.5654648767857287,ip,yes
332,sentence-transformers/all-MiniLM-L6-v2,0.5654648767857287,l2,yes
333,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
334,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
335,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
336,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
337,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
338,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
339,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
340,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
341,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
342,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
343,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
344,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
345,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
346,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
347,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
348,sentence-transformers/all-MiniLM-L6-v2,0.5,cosine,yes
349,sentence-transformers/all-MiniLM-L6-v2,0.5,ip,yes
350,sentence-transformers/all-MiniLM-L6-v2,0.5,l2,yes
351,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
352,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
353,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
354,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
355,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
356,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
357,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
358,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
359,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
360,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
361,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
362,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
363,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,cosine,yes
364,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,ip,yes
365,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,l2,yes
366,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
367,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
368,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
369,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,cosine,yes
370,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,ip,yes
371,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,l2,yes
372,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
373,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
374,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
375,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
376,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
377,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
378,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
379,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
380,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
381,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
382,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
383,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
384,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
